X,Y,E
65.4464,2.73996,0.0690293
65.7736,2.88396,0.0706819
66.1025,3.01108,0.07215
66.433,3.1585,0.0737216
66.7652,3.33071,0.0756263
67.099,3.36359,0.0758968
67.4345,3.35342,0.0757503
67.7716,3.54894,0.0778628
68.1105,3.84292,0.0808846
68.4511,3.90295,0.0814536
68.7933,4.01587,0.0825213
69.1373,4.08915,0.0832492
69.483,3.91923,0.0813737
69.8304,3.95345,0.0816082
70.1795,3.89067,0.0808456
70.5304,3.86078,0.0804518
70.8831,3.96633,0.0814952
71.2375,3.93175,0.0810125
71.5937,3.87514,0.0803332
71.9517,3.85496,0.0800374
72.3114,4.05344,0.0819437
72.673,4.01269,0.0814908
73.0363,4.12156,0.0824852
73.4015,4.12873,0.0824691
73.7685,4.11289,0.0821909
74.1374,4.35248,0.0844586
74.5081,4.28772,0.0837173
74.8806,4.2855,0.0835406
75.255,4.28124,0.0833639
75.6313,4.53609,0.0857095
76.0094,4.61235,0.086313
76.3895,4.67286,0.086725
76.7714,4.81236,0.0879124
77.1553,4.98363,0.0892962
77.5411,4.91414,0.0886407
77.9288,5.1793,0.0908159
78.3184,5.24717,0.0913309
78.71,5.20722,0.0908688
79.1035,5.29444,0.0915429
79.4991,5.23556,0.0908356
79.8966,5.38185,0.0919577
80.296,5.262,0.0908198
80.6975,5.44395,0.0922154
81.101,5.42216,0.0919014
81.5065,5.56455,0.093018
81.9141,5.48459,0.0922212
82.3236,5.56877,0.0927657
82.7352,5.88383,0.0952248
83.1489,6.1528,0.0972199
83.5647,6.51081,0.0998479
83.9825,6.87627,0.102478
84.4024,7.50346,0.106863
84.8244,8.23072,0.111828
85.2485,8.9701,0.116566
85.6748,10.2944,0.124691
86.1031,11.5287,0.131793
86.5337,13.1721,0.140725
86.9663,15.0814,0.15045
87.4012,17.2544,0.160694
87.8382,20.256,0.173798
88.2774,24.1078,0.189302
88.7187,28.971,0.207189
89.1623,35.8343,0.230097
89.6082,44.5632,0.256274
90.0562,56.1821,0.287404
90.5065,68.8682,0.31819
90.959,81.0258,0.344991
91.4138,91.297,0.366118
91.8709,98.438,0.379793
92.3302,100.157,0.382764
92.7919,99.4782,0.381004
93.2558,94.8133,0.37163
93.7221,87.0238,0.355671
94.1907,77.1131,0.334329
94.6617,67.0517,0.311362
95.135,56.483,0.28521
95.6107,46.4833,0.258364
96.0887,38.0576,0.23331
96.5692,31.799,0.212799
97.052,27.4567,0.197302
97.5373,24.6261,0.186429
98.0249,23.1986,0.180697
98.5151,22.1025,0.176113
99.0076,21.2998,0.172599
99.5027,19.9602,0.166863
100,18.7806,0.161589
100.5,17.4899,0.155705
101.003,16.6708,0.151791
101.508,15.6192,0.146713
102.015,14.9901,0.143488
102.525,14.331,0.140103
103.038,13.2806,0.134658
103.553,12.8357,0.13215
104.071,11.8702,0.126883
104.591,11.4895,0.124687
105.114,11.6793,0.125517
105.64,12.3961,0.128974
106.168,13.6228,0.134987
106.699,16.0492,0.146135
107.232,20.2514,0.163934
107.768,25.8215,0.185007
108.307,32.443,0.207415
108.849,38.3663,0.225608
109.393,40.9777,0.233097
109.94,41.3473,0.234048
110.49,39.0436,0.227294
111.042,34.7562,0.214366
111.597,29.2093,0.196397
112.155,22.9451,0.173911
112.716,17.2758,0.150694
113.28,12.9147,0.130115
113.846,10.2592,0.115782
114.415,8.59144,0.105766
114.987,7.79224,0.100659
115.562,7.1173,0.0961154
116.14,6.62971,0.0926685
116.721,6.51072,0.091772
117.305,6.30311,0.0902399
117.891,6.06926,0.0884562
118.481,6.18394,0.0892417
119.073,6.27064,0.0898271
119.668,6.30021,0.0899804
120.267,6.37798,0.0905165
120.868,6.6287,0.092152
121.472,6.73741,0.0928403
122.08,6.87494,0.0937639
122.69,7.24,0.0961228
123.304,7.63071,0.0986072
123.92,8.39994,0.103458
124.54,9.03117,0.10722
125.162,9.53301,0.110032
125.788,9.94699,0.112346
126.417,10.5515,0.115675
127.049,11.0426,0.118229
127.684,11.2007,0.118996
128.323,11.1266,0.118572
128.964,11.3487,0.119675
129.609,11.3162,0.119351
130.257,11.7195,0.121456
130.909,11.591,0.12068
131.563,12.1122,0.123256
132.221,11.8999,0.122156
132.882,11.9773,0.122459
133.546,12.1913,0.123411
134.214,12.1203,0.122994
134.885,12.3265,0.123991
135.56,12.5312,0.124924
136.238,12.4793,0.124605
136.919,12.659,0.125425
137.603,12.501,0.124611
138.291,12.5125,0.124605
138.983,12.414,0.124013
139.678,12.2306,0.123023
140.376,11.7843,0.120679
141.078,11.6468,0.119911
141.783,11.2153,0.117555
142.492,10.7278,0.114875
143.205,10.2906,0.112451
143.921,10.0217,0.110883
144.64,9.86149,0.109921
145.364,9.79692,0.109477
146.09,9.57905,0.108194
146.821,9.67041,0.108656
147.555,9.66787,0.108553
148.293,9.37719,0.106893
149.034,8.79198,0.103501
149.779,8.2779,0.100386
150.528,7.6998,0.0967359
151.281,7.03168,0.0923732
152.037,6.44397,0.0883687
152.797,6.09972,0.0859085
153.561,5.76411,0.0835339
154.329,5.43067,0.0810295
155.101,5.47626,0.0812382
155.876,5.25694,0.0795839
156.656,5.20304,0.0791494
157.439,5.34987,0.0802184
158.226,5.40436,0.0805636
159.017,5.57627,0.0818529
159.812,5.66483,0.0824873
160.612,6.01419,0.0849352
161.415,6.36113,0.0873442
162.222,6.47714,0.0881421
163.033,6.7652,0.0900618
163.848,7.12731,0.0923893
164.667,7.22251,0.0930649
165.491,7.49701,0.0947521
166.318,7.63095,0.0955245
167.15,7.75123,0.0963562
167.985,7.8383,0.0968198
168.825,8.22498,0.0992218
169.669,8.45953,0.10065
170.518,8.79109,0.102613
171.37,9.1966,0.104917
172.227,9.71433,0.107815
173.088,10.551,0.112351
173.954,11.7363,0.118474
174.823,12.8396,0.12392
175.698,13.2379,0.125863
176.576,13.3029,0.126208
177.459,12.3505,0.121619
178.346,11.7186,0.118514
179.238,10.7993,0.113718
180.134,10.6164,0.112723
181.035,10.6737,0.112999
181.94,10.796,0.113642
182.85,11.3354,0.116438
183.764,11.6444,0.117999
184.683,12.1539,0.120578
185.606,12.143,0.120437
186.534,12.6603,0.123036
187.467,12.3875,0.121676
188.404,12.0764,0.12008
189.346,11.8635,0.119013
190.293,11.3448,0.116368
191.244,11.0806,0.115004
192.201,10.846,0.113671
193.162,10.9189,0.114102
194.128,11.0305,0.114654
195.098,11.1137,0.114993
196.074,10.6152,0.112402
197.054,10.2713,0.110579
198.039,9.7803,0.107864
199.029,9.21972,0.104687
200.025,8.98464,0.103343
201.025,8.69223,0.101628
202.03,8.57211,0.100903
203.04,8.25439,0.0990276
204.055,7.75433,0.096016
205.075,7.23404,0.0926796
206.101,6.86581,0.0902979
207.131,6.42826,0.0873604
208.167,6.07661,0.0849152
209.208,5.87555,0.0835243
210.254,5.70276,0.0822844
211.305,5.84751,0.0833404
212.362,5.7208,0.0824415
213.424,5.67539,0.0821346
214.491,5.85759,0.0834714
215.563,6.10464,0.085241
216.641,6.44988,0.0876648
217.724,7.0106,0.091372
218.813,7.21522,0.0928046
219.907,6.99936,0.0914544
221.006,6.64095,0.0890805
