X,Y,E
66.1025,10.1384,0.224097
66.433,9.66494,0.218592
66.7652,9.89605,0.220989
67.099,10.185,0.223719
67.4345,10.4629,0.226635
67.7716,10.5279,0.227016
68.1105,10.2064,0.223315
68.4511,10.2285,0.223172
68.7933,10.6438,0.227552
69.1373,10.5592,0.226087
69.483,10.6213,0.226633
69.8304,10.807,0.228111
70.1795,10.6228,0.22608
70.5304,10.5773,0.225201
70.8831,10.6251,0.225488
71.2375,11.2076,0.231284
71.5937,10.9866,0.228669
71.9517,10.9015,0.227571
72.3114,10.9487,0.227931
72.673,11.1799,0.230192
73.0363,10.7468,0.225136
73.4015,11.2782,0.230552
73.7685,11.3502,0.230956
74.1374,11.519,0.232279
74.5081,11.4137,0.230914
74.8806,11.5644,0.231969
75.255,11.631,0.232391
75.6313,11.9354,0.235172
76.0094,11.671,0.232315
76.3895,12.5185,0.24033
76.7714,12.3433,0.23802
77.1553,12.0809,0.235347
77.5411,12.2896,0.237023
77.9288,12.4574,0.238263
78.3184,12.5001,0.23845
78.71,12.8228,0.241271
79.1035,12.5587,0.238349
79.4991,12.9266,0.241423
79.8966,12.8143,0.239826
80.296,13.113,0.242439
80.6975,13.581,0.246446
81.101,13.5452,0.245833
81.5065,14.0019,0.2498
81.9141,14.1495,0.250638
82.3236,14.8456,0.256436
82.7352,14.9591,0.256982
83.1489,15.4275,0.26071
83.5647,15.5778,0.261643
83.9825,16.04,0.264879
84.4024,16.8115,0.271027
84.8244,16.6919,0.269819
85.2485,17.9022,0.27911
85.6748,17.847,0.27805
86.1031,18.7504,0.284982
86.5337,20.1524,0.29502
86.9663,20.2828,0.295673
87.4012,21.8198,0.306263
87.8382,23.2981,0.316154
88.2774,25.0199,0.327119
88.7187,26.3174,0.334978
89.1623,28.124,0.345801
89.6082,30.1644,0.357606
90.0562,32.6736,0.371899
90.5065,35.2511,0.385733
90.959,37.4886,0.397051
91.4138,39.8356,0.408936
91.8709,41.3414,0.416213
92.3302,41.2056,0.414726
92.7919,42.4341,0.420696
93.2558,41.6737,0.416277
93.7221,40.53,0.409774
94.1907,38.5912,0.399446
94.6617,36.5067,0.38793
95.135,35.1293,0.379929
95.6107,32.0698,0.362519
96.0887,30.7589,0.354354
96.5692,28.3589,0.339632
97.052,27.5484,0.334166
97.5373,25.7554,0.322654
98.0249,24.9713,0.317321
98.5151,23.1691,0.305208
99.0076,23.0631,0.303871
99.5027,22.5665,0.300254
100,21.9309,0.295467
100.5,21.0669,0.28927
101.003,20.8251,0.2872
101.508,20.2361,0.282548
102.015,20.382,0.283284
102.525,19.6688,0.277818
103.038,19.3223,0.274936
103.553,19.2948,0.274519
104.071,19.6872,0.276767
104.591,18.9468,0.271057
105.114,18.9069,0.270519
105.64,19.3881,0.273508
106.168,19.2457,0.271991
106.699,19.8157,0.275835
107.232,20.5201,0.280367
107.768,21.7871,0.288364
108.307,22.0975,0.290202
108.849,23.1714,0.297014
109.393,23.0455,0.295981
109.94,23.0071,0.29535
110.49,22.5856,0.292361
111.042,21.1694,0.282806
111.597,19.3879,0.270314
112.155,18.4165,0.263229
112.716,16.6904,0.250353
113.28,15.7469,0.243214
113.846,15.1983,0.238466
114.415,14.4695,0.232396
114.987,13.8079,0.226763
115.562,13.2373,0.221913
116.14,13.3885,0.222969
116.721,12.8412,0.218174
117.305,12.7676,0.217595
117.891,12.7502,0.217132
118.481,12.3344,0.213462
119.073,12.6053,0.215739
119.668,11.9786,0.21
120.267,12.8145,0.217192
120.868,12.2715,0.212405
121.472,12.2639,0.212185
122.08,12.2435,0.211719
122.69,12.592,0.214528
123.304,12.6163,0.214752
123.92,13.0139,0.217917
124.54,12.8665,0.21658
125.162,12.8588,0.216385
125.788,13.1765,0.218944
126.417,13.0842,0.217966
127.049,13.2816,0.219441
127.684,13.0666,0.217478
128.323,13.2401,0.218766
128.964,13.0579,0.217149
129.609,13.3935,0.219781
130.257,13.5679,0.221125
130.909,13.3069,0.21876
131.563,13.2698,0.218371
132.221,13.3546,0.218928
132.882,13.3215,0.218469
133.546,13.3272,0.218423
134.214,13.3801,0.218731
134.885,13.5141,0.219843
135.56,13.1395,0.216619
136.238,13.4081,0.218572
136.919,13.3351,0.217906
137.603,13.2892,0.217373
138.291,12.6627,0.212193
138.983,13.004,0.214854
139.678,12.8943,0.213896
140.376,12.8336,0.213255
141.078,12.4158,0.209596
141.783,12.3435,0.208797
142.492,12.0218,0.205825
143.205,12.221,0.207524
143.921,11.8251,0.203881
144.64,11.7654,0.203194
145.364,11.5327,0.201079
146.09,11.784,0.203142
146.821,11.1469,0.197593
147.555,11.6604,0.201881
148.293,10.9595,0.195591
149.034,10.7406,0.193523
149.779,10.6309,0.192369
150.528,10.5192,0.191184
151.281,10.2891,0.189197
152.037,10.1656,0.188062
152.797,10.2187,0.188186
153.561,9.59316,0.182313
154.329,9.73496,0.183421
155.101,9.53683,0.181554
155.876,9.59154,0.182029
156.656,9.32445,0.179214
157.439,9.34861,0.179351
158.226,9.55671,0.181357
159.017,9.57782,0.181559
159.812,9.66038,0.182277
160.612,9.58134,0.181604
161.415,9.87549,0.184183
162.222,9.74629,0.182915
163.033,9.84615,0.183852
163.848,9.91401,0.184537
164.667,9.98736,0.185249
165.491,10.4395,0.189297
166.318,10.3431,0.188507
167.15,10.3186,0.188195
167.985,10.194,0.187043
168.825,10.1498,0.186529
169.669,10.738,0.191953
170.518,10.4718,0.18955
171.37,10.1994,0.186996
172.227,10.1283,0.186347
173.088,10.0544,0.185724
173.954,10.3549,0.188515
174.823,10.7739,0.192093
175.698,10.6217,0.190781
176.576,10.6748,0.191267
177.459,10.4962,0.189694
178.346,10.7228,0.191741
179.238,11.0051,0.194339
180.134,10.8827,0.193077
181.035,10.8912,0.193213
181.94,10.9185,0.19353
182.85,10.8094,0.192326
183.764,11.0419,0.194584
184.683,11.5434,0.198852
185.606,11.5097,0.198582
186.534,10.9686,0.193815
187.467,10.9836,0.193924
188.404,11.1314,0.195119
189.346,11.0844,0.194534
190.293,11.0971,0.194605
191.244,11.0413,0.194229
192.201,10.9367,0.193117
193.162,10.9373,0.193133
194.128,10.9406,0.193335
195.098,10.5241,0.189523
196.074,10.3821,0.188037
197.054,10.5311,0.189292
198.039,10.4643,0.188748
199.029,10.0182,0.184666
200.025,9.90939,0.183718
201.025,9.81685,0.182858
202.03,9.71488,0.181729
203.04,9.45892,0.179342
204.055,9.1738,0.176637
205.075,8.85584,0.173418
206.101,8.38569,0.168808
207.131,8.60302,0.171118
208.167,8.37943,0.168667
209.208,8.22498,0.167083
210.254,8.17255,0.166677
211.305,8.09223,0.165917
212.362,8.29557,0.167944
213.424,8.1033,0.166122
214.491,8.02158,0.165291
215.563,8.08387,0.166154
216.641,7.8659,0.163744
217.724,7.99527,0.165144
218.813,7.88879,0.164212
219.907,8.30527,0.168453
221.006,8.10052,0.166376
222.111,7.80245,0.163391
223.222,7.7277,0.162536
224.338,7.58183,0.161183
225.46,7.43635,0.159529
226.587,7.40431,0.159259
227.72,7.38955,0.159108
228.859,7.18762,0.156836
230.003,7.13875,0.156306
231.153,7.05411,0.155435
232.309,6.90187,0.153659
233.47,7.14217,0.156373
234.638,6.94219,0.154081
235.811,7.11337,0.155801
236.99,6.98227,0.154393
238.175,6.9429,0.153966
239.366,6.99495,0.154603
240.562,7.07567,0.155222
241.765,6.87807,0.153224
242.974,6.79421,0.152241
244.189,6.83061,0.152825
245.41,6.86478,0.153254
246.637,6.4984,0.149093
247.87,6.62836,0.150573
249.109,6.58021,0.150173
250.355,6.52431,0.149475
251.607,6.66094,0.150905
252.865,6.62907,0.150583
254.129,6.61028,0.15052
255.4,6.45705,0.14845
256.677,6.55512,0.149861
257.96,6.71142,0.151661
259.25,7.01988,0.155103
260.546,6.98695,0.154656
261.849,6.611,0.150334
263.158,6.99588,0.154802
264.474,7.11166,0.155996
265.796,6.88644,0.153536
267.125,6.95936,0.154371
268.461,7.1587,0.156584
269.803,6.87318,0.153576
271.152,7.08938,0.156116
272.508,7.02872,0.155497
273.871,7.18542,0.15709
275.24,7.16138,0.156792
276.616,7.4056,0.159457
277.999,7.26739,0.158265
279.389,7.63571,0.1623
280.786,7.39987,0.159991
282.19,7.71681,0.163408
283.601,7.80517,0.164373
285.019,8.16416,0.168219
286.444,8.70739,0.173861
287.876,9.62907,0.182814
289.316,11.0383,0.196033
290.762,13.015,0.212797
292.216,16.2526,0.23819
293.677,18.7502,0.2561
295.146,17.7518,0.249198
296.621,13.8545,0.22045
298.104,10.1885,0.189163
299.595,8.56914,0.173539
301.093,7.50564,0.162515
302.598,6.9069,0.155914
304.111,6.50292,0.151474
305.632,6.45618,0.151103
307.16,6.2415,0.148647
308.696,6.42162,0.150823
310.239,6.25845,0.149213
311.791,6.37844,0.150789
313.35,6.45288,0.151745
314.916,6.3445,0.150668
316.491,6.42112,0.15179
318.073,6.20646,0.149356
319.664,6.0293,0.147291
321.262,6.03865,0.147506
322.868,6.00076,0.147414
324.483,6.06917,0.148392
326.105,6.03165,0.148146
327.736,5.91321,0.146843
329.374,5.8676,0.146555
331.021,6.01236,0.148357
332.676,6.00119,0.14847
334.34,5.84879,0.14696
336.011,5.43381,0.141704
337.691,5.59525,0.144011
339.38,5.37874,0.141444
341.077,5.35751,0.141497
342.782,5.4448,0.142681
344.496,5.24886,0.140295
346.218,5.43009,0.142918
347.95,5.21278,0.140142
349.689,5.11986,0.139086
351.438,5.15968,0.139816
353.195,5.05441,0.138672
354.961,5.4919,0.144684
356.736,5.26003,0.141704
358.519,5.31939,0.142801
360.312,5.54377,0.145804
362.114,5.69636,0.148166
363.924,5.74815,0.148843
365.744,5.71475,0.148746
367.572,5.90132,0.151394
369.41,5.7871,0.150284
371.257,5.53556,0.147102
373.114,5.28849,0.144071
374.979,5.32995,0.14503
376.854,5.07122,0.141494
378.738,5.17498,0.143182
380.632,5.05674,0.141668
382.535,5.15776,0.143217
384.448,5.41542,0.147082
386.37,5.28435,0.145555
388.302,5.36951,0.146948
390.244,5.25797,0.145524
392.195,5.12302,0.143931
394.156,5.0575,0.143289
396.127,5.08183,0.143876
398.107,4.87174,0.140923
400.098,4.87892,0.141314
402.098,4.97647,0.143112
404.109,4.91464,0.142264
406.129,4.88522,0.142014
408.16,4.71853,0.139969
410.201,4.62067,0.138774
412.252,4.64547,0.139262
414.313,4.5696,0.138433
416.384,4.7777,0.141812
418.466,4.75778,0.141889
420.559,4.58781,0.13965
422.662,4.68818,0.141446
424.775,4.524,0.139194
426.899,4.80417,0.143652
429.033,4.72928,0.142921
431.178,4.58791,0.140917
433.334,4.46738,0.139372
435.501,4.27993,0.136813
437.678,4.47872,0.140278
439.867,4.51456,0.14096
442.066,4.35401,0.138699
